selector,kind,call_sites,affected_pages
"#teacherFilters input[name=",query,2,teacher
"#teacherStudentStatus",query,1,teacher
"#teacherStudentSelect",query,3,teacher
".node.section .section-title",query,1,neither/dynamic
".node.topic .title",query,1,neither/dynamic
".node.section",query,7,neither/dynamic
".node.topic",query,6,neither/dynamic
"#loginGoogleBtn",query,2,neither/dynamic
"#userMenuBtn",query,2,teacher
"#userMenu",query,2,teacher
"#menuStats",query,2,neither/dynamic
"#menuProfile",query,1,neither/dynamic
"#menuLogout",query,1,teacher
"#accordion",query,4,both
"#start",query,2,both
"#modeList",query,1,neither/dynamic
"#modeTest",query,1,neither/dynamic
"#pickManual",query,2,student
"#pickSmart",query,2,student
"#smartControls",query,1,student
"#bulkControls",query,1,both
".smart-n-btn",query,2,student
"#smartBuild",query,1,student
"#smartHint",query,1,student
"#shuffleToggle",query,1,both
".count",query,7,neither/dynamic
"#createHwBtn",query,1,teacher
"#bulkPickAll",query,1,both
"#bulkResetAll",query,1,both
".home-topic-badge",query,1,neither/dynamic
".children",query,1,neither/dynamic
".section-title",query,3,neither/dynamic
".unique-btn",query,1,neither/dynamic
".minus",query,2,neither/dynamic
".plus",query,2,neither/dynamic
".title",query,3,both
"#sum",query,1,both
"#addedTasksBtn",query,2,teacher
"#protoPickerModal",query,1,both
"#protoPickerTitle",query,1,both
"#protoPickerList",query,1,both
"#protoPickerHint",query,1,both
"#protoPickerClose",query,1,both
"#protoPickerSelectedCount",query,1,both
"#protoPickerModal .modal-backdrop",query,1,both
".tp-item",query,1,neither/dynamic
"#addedTasksModal",query,1,teacher
"#addedTasksClose",query,1,teacher
"#addedTasksModal .modal-backdrop",query,1,teacher
"#addedTasksMeta",query,1,teacher
"#addedTasksListWrap",query,1,teacher
"#addedTasksList",query,1,teacher
"#addedTasksHint",query,1,teacher
".task-card[data-question-id]",query,2,neither/dynamic
"#teacherFilterNone",query,1,teacher
"#teacherFilterUnseenLow",query,1,teacher
"#teacherFilterStale",query,1,teacher
"#teacherFilterUnstable",query,1,teacher
"#studentComboInput",query,1,teacher
"#studentComboScore",query,1,teacher
"#comboScoreSecondary",query,1,teacher
"#comboScorePrimary",query,1,teacher
"#studentCombo",query,1,teacher
"#sfPrimaryExact",query,1,both
"#sfSecondary",query,1,both
"#sfNote",query,1,both
"#htRecList",query,2,teacher
"#htRecStart",query,2,teacher
"#appHeader",query,1,both
"meta[name=",query,1,both
"b",query,3,both
".small",query,3,both
"#accordion .home-badges-head .row",query,1,both
".home-last10-badge",query,6,neither/dynamic
".home-coverage-badge",query,4,neither/dynamic
".proto-modal-badge",query,2,neither/dynamic
".proto-modal-date-badge",query,2,neither/dynamic
".added-task-badge",query,3,neither/dynamic
".added-task-date-badge",query,3,neither/dynamic
".teacher-student-view",mutate-class,1,neither/dynamic
".home-stats-loading",mutate-class,1,neither/dynamic
".gray",mutate-class,1,student
".stat-chip",mutate-class,2,neither/dynamic
".is-visible",mutate-class,2,teacher
".has-score",mutate-class,2,teacher
".hidden",mutate-class,9,both
".active",mutate-class,7,both
".expanded",mutate-class,2,teacher
".proto-clickable",mutate-class,1,neither/dynamic
".is-ready",mutate-class,2,neither/dynamic
".ht-has-selection",mutate-class,1,neither/dynamic
".is-smart",mutate-class,1,neither/dynamic
"[title]",mutate-attr,4,both
"[data-tip]",mutate-attr,4,teacher
"[aria-expanded]",mutate-attr,4,teacher
"[aria-selected]",mutate-attr,6,student
"[role]",mutate-attr,1,both
"[tabindex]",mutate-attr,1,neither/dynamic
"[aria-hidden]",mutate-attr,5,both
"dataset.wired",mutate-attr,2,neither/dynamic
"dataset.baseTitle",mutate-attr,5,neither/dynamic
"dataset.menuWired",mutate-attr,2,neither/dynamic
"dataset.pickMode",mutate-attr,1,neither/dynamic
"dataset.n",mutate-attr,2,neither/dynamic
"dataset.id",mutate-attr,5,neither/dynamic
"dataset.selectAll",mutate-attr,6,neither/dynamic
"dataset.typeId",mutate-attr,1,neither/dynamic
"dataset.renderSig",mutate-attr,4,neither/dynamic
"dataset.questionId",mutate-attr,3,neither/dynamic
"@change",listen,3,event
"@visibilitychange",listen,1,event
"@pageshow",listen,1,event
"@click",listen,26,event
"@keydown",listen,4,event
"@DOMContentLoaded",listen,1,event
"@focus",listen,2,event
"@mouseup",listen,2,event
